pc_time_s,idx,teensy_t_us,raw1,raw2,raw3,raw4,raw5,idx_jump,missing_frames
0.285098,287,287000,11,15,7,10,9,1,0
0.286075,288,288000,11,17,6,10,4,1,0
0.287130,289,289000,6,13,8,10,8,1,0
0.288100,290,290000,10,13,6,11,10,1,0
0.289121,291,291000,11,13,5,13,4,1,0
0.290077,292,292000,11,14,6,10,8,1,0
0.291072,293,293000,10,14,4,10,7,1,0
0.292108,294,294000,10,13,6,9,9,1,0
0.293070,295,295000,11,14,7,10,7,1,0
0.294153,296,296000,12,14,8,10,7,1,0
0.295070,297,297000,11,14,5,11,4,1,0
0.296111,298,298000,18,14,6,10,8,1,0
0.297110,299,299000,11,13,5,11,8,1,0
0.298076,300,300000,10,19,5,12,8,1,0
0.299468,301,301000,12,15,7,9,9,1,0
0.300251,302,302000,10,14,6,10,6,1,0
0.301104,303,303000,12,13,6,10,6,1,0
0.302083,304,304000,14,16,8,11,6,1,0
0.303073,305,305000,11,14,7,11,9,1,0
0.304440,306,306000,11,15,5,9,8,1,0
0.305162,307,307000,13,13,7,11,11,1,0
0.306153,308,308000,11,16,6,11,8,1,0
0.307103,309,309000,12,14,6,10,6,1,0
0.308076,310,310000,12,14,6,12,6,1,0
0.309087,311,311000,12,13,5,10,8,1,0
0.310133,312,312000,11,13,7,8,9,1,0
0.311136,313,313000,11,13,3,10,9,1,0
0.312108,314,314000,10,13,7,9,5,1,0
0.313113,315,315000,10,13,6,10,8,1,0
0.314107,316,316000,8,14,7,10,8,1,0
0.315323,317,317000,9,15,5,10,5,1,0
0.316091,318,318000,11,13,7,8,10,1,0
0.317097,319,319000,9,16,6,11,8,1,0
0.318095,320,320000,12,19,6,11,6,1,0
0.319080,321,321000,12,13,6,8,10,1,0
0.320093,322,322000,9,14,5,11,4,1,0
0.321193,323,323000,13,15,7,10,6,1,0
0.322146,324,324000,9,15,7,11,8,1,0
0.323062,325,325000,9,13,6,11,9,1,0
0.324092,326,326000,12,15,5,11,10,1,0
0.325102,327,327000,13,15,6,10,10,1,0
0.326114,328,328000,9,15,6,10,9,1,0
