 ,Area(zone b),Mean(zone b),Min(zone b),Max(zone b)
96,247599,23265.506,0,65535
97,247599,23121.508,0,65535
98,247599,23317.590,0,65535
99,247599,23180.611,0,65535
100,247599,23374.578,0,65535
101,247599,23394.477,0,65535
102,247599,23528.678,0,65535
103,247599,31278.707,2128,63433
104,247599,30936.062,5108,54067
105,247599,31036.025,0,58750
106,247599,30815.732,3831,65535
107,247599,31107.365,2128,55770
108,247599,31025.771,1277,61731
109,247599,30769.855,5534,64711
110,247599,31036.584,1702,56622
111,247599,30755.146,0,58750
112,247599,30999.543,2980,54919
113,247599,30777.658,0,58325
114,247599,26066.066,0,65535
115,247599,23316.729,0,65535
116,247599,23146.850,0,65535
117,247599,23366.984,0,65535
118,247599,23234.551,0,65535
119,247599,23424.410,0,65535
120,247599,23224.949,0,65535
121,247599,23111.973,0,65535
122,247599,23341.301,0,65535
123,247599,23079.920,0,65535
124,247599,23369.436,0,65535
125,247599,23729.939,0,65535
126,247599,31210.598,851,61731
127,247599,30869.043,0,61305
128,247599,30658.852,851,65535
129,247599,31048.305,0,59176
130,247599,30737.174,5534,61305
131,247599,31026.957,3831,54493
132,247599,30808.908,1277,61731
133,247599,30985.117,5108,65535
134,247599,31063.371,5534,63008
135,247599,30747.996,5960,65535
136,247599,31029.068,6811,63008
137,247599,25890.873,0,64711
138,247599,23350.820,0,65535
139,247599,23214.086,0,65535
140,247599,23356.473,0,65535
141,247599,23390.195,0,65535
142,247599,23159.838,0,65535
143,247599,23334.553,0,65535
144,247599,23189.318,0,65535
145,247599,23384.340,0,65535
146,247599,23211.611,0,65535
147,247599,23358.154,0,65535
148,247599,23980.439,0,65535
149,247599,31031.793,2128,64711
150,247599,31020.672,851,57473
151,247599,30776.107,0,60879
152,247599,30927.762,2980,63008
153,247599,30683.092,7237,60453
154,247599,30600.557,6811,65535
155,247599,30846.611,4257,65136
156,247599,30615.215,2980,60453
157,247599,30882.863,5960,60453
158,247599,30644.439,5534,63859
159,247599,30907.434,1702,59176
160,247599,25806.648,0,65535
161,247599,22974.861,0,65535
162,247599,23320.951,0,65535
163,247599,23060.436,0,65535
164,247599,23389.605,0,65535
165,247599,23210.059,0,65535
166,247599,23352.312,0,65535
167,247599,23207.832,0,65535
168,247599,23127.551,0,65535
169,247599,23326.697,0,65535
170,247599,23127.416,0,65535
171,247599,24149.133,0,65535
172,247599,31111.803,0,65535
173,247599,31010.533,3831,56196
174,247599,31001.717,2128,65535
175,247599,30819.924,3405,57047
176,247599,31037.141,1702,52790
177,247599,30762.889,4257,65535
178,247599,30974.607,4257,55770
179,247599,30719.836,0,60453
180,247599,30875.531,4683,57899
181,247599,30913.617,5534,63433
182,247599,30567.912,6385,52364
183,247599,25784.695,0,62156
184,247599,23070.686,0,65535
185,247599,23270.209,0,65535
186,247599,23176.199,0,65535
187,247599,23281.227,0,65535
188,247599,23296.432,0,65535
189,247599,23115.941,0,65535
190,247599,23350.658,0,65535
191,247599,23210.953,0,65535
192,247599,23362.197,0,65535
193,247599,23194.197,0,65535
194,247599,24051.084,0,65535
195,247599,31356.459,2554,64285
196,247599,30798.643,5534,65535
197,247599,31048.461,1277,59176
198,247599,30836.867,1277,65535
199,247599,31003.500,5960,65535
200,247599,30805.076,2128,64711
201,247599,30657.922,2980,56196
202,247599,30917.922,3405,54067
203,247599,30611.977,5108,65535
204,247599,30879.498,5108,56622
205,247599,30777.504,3831,58750
206,247599,25633.672,0,65535
207,247599,23034.383,0,65535
208,247599,23041.432,0,65535
209,247599,23229.393,0,65535
210,247599,23008.916,0,65535
211,247599,23244.008,0,65535
212,247599,23135.842,0,65535
213,247599,23284.424,0,65535
214,247599,23308.201,0,65535
215,247599,23112.025,0,65535
216,247599,23390.496,0,65535
217,247599,24126.377,0,65535
218,247599,31269.326,4257,59602
219,247599,30899.299,1702,61731
220,247599,31062.709,2128,54067
221,247599,31044.703,1277,63008
222,247599,30800.811,5960,62582
223,247599,31005.117,3831,58750
224,247599,30853.873,0,62582
225,247599,31031.982,6811,65136
226,247599,30808.084,4257,59602
227,247599,31012.584,0,65535
228,247599,31003.877,5534,63859
229,247599,25378.445,0,64285
230,247599,23358.369,0,65535
231,247599,23222.217,0,65535
232,247599,23364.924,0,65535
233,247599,23225.920,0,65535
234,247599,23198.750,0,65535
235,247599,23347.947,0,65535
236,247599,23184.150,0,65535
237,247599,23357.633,0,65535
238,247599,23192.102,0,65535
239,247599,23361.955,0,65535
240,247599,24303.848,0,65535
241,247599,30937.516,1277,62582
242,247599,30994.176,6811,59602
243,247599,30759.781,425,61305
244,247599,31023.410,5108,63008
245,247599,30829.012,5108,63433
246,247599,31021.865,0,54919
247,247599,30872.184,2128,62156
248,247599,30683.896,4683,62156
249,247599,31022.945,2554,59602
250,247599,30762.650,0,58750
251,247599,31019.742,6811,54919
252,247599,25454.510,0,65535
253,247599,23428.145,0,65535
254,247599,23413.197,0,65535
255,247599,23227.611,0,65535
256,247599,23443.553,0,65535
257,247599,23207.359,0,65535
258,247599,23464.174,0,65535
259,247599,23321.719,0,65535
260,247599,23409.379,0,65535
261,247599,23429.279,0,65535
262,247599,23258.828,0,65535
263,247599,24769.586,0,65535
264,247599,31055.469,4683,61305
265,247599,31057.859,1702,61731
266,247599,30864.850,0,65535
267,247599,30902.568,5108,64285
268,247599,30834.795,0,61731
269,247599,30627.547,3831,56622
270,247599,30818.465,2128,61731
271,247599,30703.137,2554,65535
272,247599,30881.479,4683,65535
273,247599,30758.301,1277,62156
274,247599,30580.807,0,65535
275,247599,25430.141,0,65535
276,247599,23086.283,0,65535
277,247599,23413.826,0,65535
278,247599,23328.174,0,65535
279,247599,23505.068,0,65535
280,247599,23391.807,0,65535
281,247599,23231.824,0,65535
282,247599,23517.400,0,65535
283,247599,23259.818,0,65535
284,247599,23502.639,0,65535
285,247599,23317.686,0,65535
286,247599,24859.701,0,65535
287,247599,31227.512,5960,61731
288,247599,30887.877,5108,61731
289,247599,31051.326,1277,62156
290,247599,30784.572,0,54493
291,247599,31034.906,5960,65136
292,247599,30843.350,4683,63859
293,247599,30948.990,3405,54067
294,247599,30892.639,3405,65535
295,247599,30678.836,3405,60453
296,247599,30937.104,2980,55770
297,247599,30651.086,5960,53216
298,247599,25283.455,0,65535
299,247599,23151.211,0,65535
300,247599,23347.129,0,65535
301,247599,23335.027,0,65535
302,247599,23171.096,0,65535
303,247599,23394.908,0,65535
304,247599,23273.895,0,65535
305,247599,23447.301,0,65535
306,247599,23298.619,0,65535
307,247599,23424.186,0,65535
308,247599,23475.895,0,65535
309,247599,24719.865,0,65535
310,247599,31356.412,5108,59176
311,247599,30956.945,2554,58325
312,247599,31053.795,5108,63859
313,247599,30901.314,2980,58750
314,247599,30692.287,4257,61305
315,247599,31038.332,6811,59602
316,247599,30808.010,5534,56622
317,247599,30911.590,6385,65535
318,247599,30729.279,2554,59602
319,247599,30966.346,5960,54067
320,247599,30717.781,6385,65535
321,247599,24880.287,0,65535
322,247599,23344.453,0,65535
323,247599,23118.955,0,65535
324,247599,23376.527,0,65535
325,247599,23128.152,0,65535
326,247599,23364.074,0,65535
327,247599,23148.885,0,65535
328,247599,23156.789,0,65535
329,247599,23357.074,0,65535
330,247599,23192.020,0,65535
331,247599,23400.346,0,65535
332,247599,24806.629,0,65535
333,247599,31243.338,5534,60879
334,247599,31093.027,5108,62582
335,247599,30864.262,3405,65535
336,247599,31091.096,6811,63433
337,247599,30782.143,3405,65535
338,247599,31044.527,2554,58325
339,247599,30851.371,3405,60453
340,247599,31004.135,3831,65535
341,247599,31019.602,2554,52790
342,247599,30775.996,5960,63859
343,247599,30990.453,7663,65535
344,247599,24943.451,0,65535
345,247599,23296.615,0,65535
346,247599,23216.844,0,65535
347,247599,23418.166,0,65535
348,247599,23364.279,0,65535
349,247599,23115.223,0,65535
350,247599,23354.576,0,65535
351,247599,23236.930,0,65535
352,247599,23382.215,0,65535
353,247599,23171.180,0,65535
354,247599,23115.971,0,65535
355,247599,25127.301,0,65535
356,247599,30890.504,4683,53642
357,247599,31062.400,6811,65535
358,247599,30834.109,0,52364
359,247599,31002.941,2554,56622
360,247599,30827.293,7237,60453
361,247599,30794.289,4683,54919
362,247599,31003.627,6811,60879
363,247599,30796.393,4683,59176
364,247599,31059.324,2554,65535
365,247599,30819.715,4257,59602
366,247599,31063.268,5534,63008
367,247599,24840.756,0,65535
368,247599,23104.961,0,65535
369,247599,23309.682,0,65535
370,247599,23155.898,0,65535
371,247599,23366.568,0,65535
372,247599,23181.830,0,65535
373,247599,23418.723,0,65535
374,247599,23303.436,0,65535
375,247599,23147.254,0,65535
376,247599,23379.854,0,65535
377,247599,23139.938,0,65535
378,247599,25228.557,0,65535
379,247599,31103.893,4257,60879
380,247599,30981.312,5960,60453
381,247599,30953.148,4683,65535
382,247599,30674.049,0,63859
383,247599,30880.885,5960,60453
384,247599,30718.895,3405,60028
385,247599,30921.041,3405,54493
386,247599,30649.428,0,65535
387,247599,30988.367,4683,57899
388,247599,30915.736,5960,62582
389,247599,30639.756,1277,64285
390,247599,24856.045,0,65535
391,247599,23213.697,0,65535
392,247599,23408.768,0,65535
393,247599,23181.805,0,65535
394,247599,23119.338,0,65535
395,247599,23449.535,0,65535
396,247599,23142.449,0,65535
397,247599,23406.754,0,65535
398,247599,23278.234,0,65535
399,247599,23451.738,0,65535
400,247599,23285.895,0,65535
401,247599,25158.137,0,65535
402,247599,31248.043,5534,59602
403,247599,30781.559,2980,57899
404,247599,31098.283,425,63859
405,247599,30875.125,4257,63433
406,247599,31019.305,3405,54067
407,247599,30775.711,2554,61305
408,247599,30747.328,0,63433
409,247599,30942.738,0,54067
410,247599,30638.650,5960,65535
411,247599,30829.141,5108,65535
412,247599,30773.496,5534,64711
413,247599,24719.346,0,65535
414,247599,23260.227,0,65535
415,247599,23141.035,0,65535
416,247599,23343.787,0,65535
417,247599,23161.330,0,65535
418,247599,23430.637,0,65535
419,247599,23311.861,0,65535
420,247599,23429.838,0,65535
421,247599,23446.068,0,65535
422,247599,23236.201,0,65535
423,247599,23471.793,0,65535
424,247599,25353.412,0,65535
425,247599,31302.121,5960,65535
426,247599,30889.254,3831,60879
427,247599,31158.105,5534,63433
428,247599,31026.883,0,65535
429,247599,30720.518,4683,56622
430,247599,31042.793,2980,62582
431,247599,30785.490,5960,64711
432,247599,30955.609,4257,54493
433,247599,30755.982,6811,65136
434,247599,30650.752,0,51939
435,247599,30852.523,2128,62156
436,247599,24402.814,0,65535
437,247599,23300.051,0,65535
438,247599,23189.332,0,65535
439,247599,23315.381,0,65535
440,247599,23220.607,0,65535
441,247599,23151.279,0,65535
442,247599,23333.588,0,65535
443,247599,23129.477,0,65535
444,247599,23420.127,0,65535
445,247599,23211.941,0,65535
446,247599,23416.201,0,65535
447,247599,25533.330,0,64285
448,247599,30998.396,2980,63433
449,247599,31068.699,2128,63433
450,247599,30844.051,0,61731
451,247599,31040.605,4683,61305
452,247599,30830.232,425,65535
453,247599,31021.814,851,55770
454,247599,31044.631,0,65535
455,247599,30753.871,4257,57047
456,247599,31015.980,6811,51939
457,247599,30715.010,2554,64285
458,247599,31010.604,4257,65535
459,247599,24426.707,0,65535
460,247599,23350.072,0,65535
461,247599,23388.322,0,65535
462,247599,23171.350,0,65535
463,247599,23385.986,0,65535
464,247599,23225.643,0,65535
465,247599,23468.826,0,65535
466,247599,23274.377,0,65535
467,247599,23431.227,0,65535
468,247599,23410.381,0,65535
469,247599,23130.613,0,65535
470,247599,25700.994,0,65535
471,247599,30936.674,2980,63008
472,247599,30951.992,4683,61731
473,247599,30781.334,0,64711
474,247599,30707.502,851,65136
475,247599,31015.711,4257,54493
476,247599,30681.188,0,65136
477,247599,31012.334,5534,63433
478,247599,30809.564,2554,53216
479,247599,30960.717,3405,58325
480,247599,30784.826,5960,64711
481,247599,30743.775,3831,61305
482,247599,24313.812,0,65535
483,247599,23068.152,0,65535
484,247599,23392.293,0,65535
485,247599,23236.996,0,65535
486,247599,23365.904,0,65535
487,247599,23236.396,0,65535
488,247599,23187.676,0,65535
489,247599,23456.461,0,65535
490,247599,23133.164,0,65535
491,247599,23440.848,0,65535
492,247599,23215.102,0,65535
493,247599,25803.096,0,65535
494,247599,31195.322,2554,64285
495,247599,30824.949,2128,63008
496,247599,31018.471,7237,63859
497,247599,30729.021,6385,59176
498,247599,30911.723,3831,57047
499,247599,30700.449,0,63859
500,247599,30878.223,4257,63859
501,247599,30962.625,6811,65535
502,247599,30676.604,3405,65535
503,247599,30933.621,7237,61731
504,247599,30682.453,3831,59176
505,247599,24306.207,0,65535
506,247599,23226.537,0,65535
507,247599,23388.340,0,65535
508,247599,23381.900,0,65535
509,247599,23207.506,0,65535
510,247599,23385.035,0,65535
511,247599,23303.283,0,65535
512,247599,23389.156,0,65535
513,247599,23302.902,0,65535
514,247599,23206.191,0,65535
515,247599,23411.779,0,65535
516,247599,25732.047,0,65136
517,247599,31310.721,3831,64711
518,247599,30981.023,4257,63859
519,247599,31120.021,0,60028
520,247599,30822.801,6385,65535
521,247599,30832.750,0,57473
522,247599,31029.803,6811,63433
523,247599,30720.699,5108,65535
524,247599,30935.193,5534,63433
525,247599,30743.701,5534,60028
526,247599,30898.182,4257,59176
527,247599,30685.400,0,55345
528,247599,23832.791,0,65535
529,247599,23308.221,0,65535
530,247599,23113.236,0,65535
531,247599,23388.588,0,65535
532,247599,23257.539,0,65535
533,247599,23389.387,0,65535
534,247599,23405.361,0,65535
535,247599,23223.812,0,65535
536,247599,23399.953,0,65535
537,247599,23193.619,0,65535
538,247599,23468.646,0,65535
539,247599,25957.607,0,65535
540,247599,31249.562,5960,65535
541,247599,31124.539,7237,65535
542,247599,30786.537,2128,61731
543,247599,31061.211,4683,55345
544,247599,30877.416,3405,65535
545,247599,30993.225,2128,57047
546,247599,30824.840,7663,61305
547,247599,31014.148,2980,55770
548,247599,30989.975,4257,62156
549,247599,30663.334,5960,53642
550,247599,30978.818,2128,55770
551,247599,23777.955,0,65535
552,247599,23249.836,0,65535
553,247599,23205.498,0,65535
554,247599,23088.986,0,65535
555,247599,23308.479,0,65535
556,247599,23112.762,0,65535
557,247599,23417.453,0,65535
558,247599,23164.275,0,65535
559,247599,23374.852,0,65535
560,247599,23217.387,0,65535
561,247599,23165.482,0,65535
562,247599,26198.588,0,65535
563,247599,31073.344,5534,62156
564,247599,31064.307,0,61731
565,247599,30923.609,0,58325
566,247599,31080.305,5960,65535
567,247599,30887.711,4683,57047
568,247599,30819.773,6811,65136
569,247599,31040.672,2980,62582
570,247599,30738.568,5534,65535
571,247599,31008.682,0,59176
572,247599,30846.193,5960,55345
573,247599,30955.426,3831,60879
574,247599,23894.943,0,65535
575,247599,23126.416,0,65535
576,247599,23338.496,0,65535
577,247599,23166.037,0,65535
578,247599,23383.213,0,65535
579,247599,23185.785,0,65535
580,247599,23395.781,0,65535
581,247599,23353.295,0,65535
582,247599,23100.010,0,65535
583,247599,23420.686,0,65535
584,247599,23221.193,0,65535
585,247599,26279.004,0,63859
586,247599,30973.008,5108,62156
587,247599,31033.188,5108,59176
588,247599,30983.898,5534,62156
589,247599,30691.928,5534,61305
590,247599,30959.322,2554,63433
591,247599,30812.400,5534,57047
592,247599,31068.016,1277,59176
593,247599,30817.441,5960,65535
594,247599,30742.986,425,56622
595,247599,30987.668,6385,61731
596,247599,30701.094,3405,54919
597,247599,23781.639,0,65535
598,247599,23226.342,0,65535
599,247599,23409.105,0,65535
600,247599,23228.656,0,65535
601,247599,23183.820,0,65535
602,247599,23464.834,0,65535
603,247599,23212.066,0,65535
604,247599,23423.115,0,65535
605,247599,23213.445,0,65535
606,247599,23297.908,0,65535
607,247599,23200.723,0,65535
608,247599,26226.363,0,65535
609,247599,31141.459,4683,54493
610,247599,30741.400,0,60879
611,247599,30908.010,2554,63433
612,247599,30763.938,6385,65535
613,247599,30945.068,5108,62582
614,247599,30919.514,2980,64285
615,247599,30571.049,6385,54067
616,247599,30833.773,5108,58750
617,247599,30574.736,5108,60028
618,247599,30938.330,0,60879
619,247599,30736.076,0,65535
620,247599,23689.447,0,65535
621,247599,23384.783,0,65535
622,247599,23136.467,0,65535
623,247599,23360.156,0,65535
624,247599,23248.906,0,65535
625,247599,23426.848,0,65535
626,247599,23209.064,0,65535
627,247599,23411.820,0,65535
628,247599,23393.980,0,65535
629,247599,23203.078,0,65535
630,247599,23441.969,0,65535
631,247599,26449.975,0,65535
632,247599,31268.723,2128,62156
633,247599,30896.904,0,59176
634,247599,30777.197,5960,64285
635,247599,31014.650,425,63859
636,247599,30774.738,2980,62582
637,247599,30947.766,0,62582
638,247599,30740.438,3831,62582
639,247599,30954.711,4683,65136
640,247599,30720.795,425,53642
641,247599,30643.875,5960,62156
642,247599,30925.969,2554,65535
643,247599,23269.277,0,65535
644,247599,23350.242,0,65535
645,247599,23157.645,0,65535
646,247599,23320.379,0,65535
647,247599,23214.420,0,65535
648,247599,23131.412,0,65535
649,247599,23395.629,0,65535
650,247599,23130.893,0,65535
651,247599,23444.449,0,65535
652,247599,23245.410,0,65535
653,247599,23397.656,0,65535
654,247599,26656.203,0,65136
655,247599,30980.738,2128,64285
656,247599,31134.490,5960,65535
657,247599,30810.473,851,64285
658,247599,31097.549,3831,64711
659,247599,30894.441,0,60028
660,247599,30981.703,5534,65535
661,247599,31001.643,0,54919
662,247599,30797.582,2980,61731
663,247599,30981.408,5108,61305
664,247599,30749.111,6385,61305
665,247599,30857.914,1702,65535
666,247599,23283.119,0,65535
667,247599,23306.787,0,65535
668,247599,23293.443,0,65535
669,247599,23027.262,0,65535
670,247599,23287.469,0,65535
671,247599,23176.445,0,65535
672,247599,23372.520,0,65535
673,247599,23092.521,0,65535
674,247599,23087.404,0,65535
675,247599,23333.076,0,65535
676,247599,23225.502,0,65535
677,247599,26829.900,0,65535
678,247599,31070.902,2980,59176
679,247599,31085.121,5534,62582
680,247599,30931.236,2554,65535
681,247599,30830.236,7237,59176
682,247599,31101.920,3831,55770
683,247599,30828.719,5960,62156
684,247599,31063.410,0,65535
685,247599,30839.812,5534,64711
686,247599,31069.020,5108,60028
687,247599,30763.191,5534,65535
688,247599,30712.199,2980,55770
689,247599,23359.508,0,65535
690,247599,23156.100,0,65535
691,247599,23406.877,0,65535
692,247599,23260.936,0,65535
693,247599,23392.717,0,65535
694,247599,23355.762,0,65535
695,247599,23135.602,0,65535
696,247599,23382.748,0,65535
697,247599,23166.418,0,65535
698,247599,23375.969,0,65535
699,247599,23217.584,0,65535
700,247599,26841.293,0,64711
701,247599,31127.574,6385,62582
702,247599,30794.717,5534,56622
703,247599,31039.924,0,59176
704,247599,30860.949,4683,64711
705,247599,30980.025,4683,57899
706,247599,30917.670,0,65535
707,247599,31063.441,3831,55345
708,247599,31019.812,0,65535
709,247599,30796.299,425,54493
710,247599,31067.096,5108,65136
711,247599,30881.781,0,53216
712,247599,23293.000,0,65535
713,247599,23260.525,0,65535
714,247599,23160.201,0,65535
715,247599,23486.918,0,65535
716,247599,23207.816,0,65535
717,247599,23360.719,0,65535
718,247599,23264.018,0,65535
719,247599,23383.404,0,65535
720,247599,23271.201,0,65535
721,247599,23186.568,0,65535
722,247599,23485.943,0,65535
723,247599,26732.508,0,59602
724,247599,31133.961,2128,63859
725,247599,30828.674,5960,65535
726,247599,30977.123,0,63008
727,247599,30780.650,1702,56622
728,247599,30690.568,7663,62156
729,247599,30901.686,6385,57047
730,247599,30618.201,1702,60453
731,247599,30885.613,6385,52364
732,247599,30752.885,6385,60879
733,247599,30890.670,2128,63008
734,247599,30853.225,6811,51939
735,247599,23006.953,0,65535
736,247599,23443.002,0,65535
737,247599,23149.834,0,65535
738,247599,23425.756,0,65535
739,247599,23206.107,0,65535
740,247599,23405.668,0,65535
741,247599,23368.592,0,65535
742,247599,23248.805,0,65535
743,247599,23418.172,0,65535
744,247599,23314.398,0,65535
745,247599,23426.148,0,65535
746,247599,27039.383,0,65535
747,247599,31264.688,1702,65535
748,247599,31063.312,0,61731
749,247599,30724.564,851,65535
750,247599,30989.932,0,65535
751,247599,30844.645,2128,58325
752,247599,30934.947,1702,60879
753,247599,30758.627,6811,65535
754,247599,30642.029,4683,64285
755,247599,30897.369,2554,60879
756,247599,30621.373,0,57473
757,247599,30882.379,5534,65535
758,247599,23017.510,0,65535
759,247599,23286.713,0,65535
760,247599,23187.777,0,65535
761,247599,23093.496,0,65535
762,247599,23330.902,0,65535
763,247599,23171.770,0,65535
764,247599,23436.555,0,65535
765,247599,23265.662,0,65535
766,247599,23439.852,0,65535
767,247599,23272.305,0,65535
768,247599,23247.234,0,65535
769,247599,27338.562,0,65535
770,247599,30908.234,3405,61731
771,247599,31109.609,4257,63859
772,247599,30904.791,2554,62582
773,247599,31033.330,2980,64285
774,247599,31047.324,2128,54919
775,247599,30648.990,6385,65535
776,247599,30983.158,4683,61305
777,247599,30645.295,2980,57899
778,247599,30902.508,5108,55345
779,247599,30768.697,2554,63008
780,247599,30795.545,5108,63008
781,247599,23176.260,0,65535
782,247599,23067.436,0,65535
783,247599,23270.383,0,65535
784,247599,23096.117,0,65535
785,247599,23294.254,0,65535
786,247599,23117.537,0,65535
787,247599,23277.570,0,65535
788,247599,23293.898,0,65535
789,247599,23058.750,0,65535
790,247599,23306.613,0,65535
791,247599,23208.273,0,65535
792,247599,27390.418,0,65535
793,247599,30932.037,5108,55770
794,247599,30798.117,0,61731
795,247599,31052.111,2980,59176
796,247599,30833.383,2980,57047
797,247599,30998.852,851,59176
798,247599,30839.561,3831,65535
799,247599,31027.793,5960,59176
800,247599,30801.322,6385,65535
801,247599,30709.270,6385,60453
802,247599,30868.803,2554,56622
803,247599,30433.975,0,54493
804,247599,23266.803,0,65535
805,247599,23214.098,0,65535
806,247599,23374.779,0,65535
807,247599,23180.303,0,65535
808,247599,23132.668,0,65535
809,247599,23353.471,0,65535
810,247599,23095.961,0,65535
811,247599,23319.652,0,65535
812,247599,23179.975,0,65535
813,247599,23370.785,0,65535
814,247599,23320.742,0,65535
815,247599,27303.598,0,65535
816,247599,31049.221,6385,53642
817,247599,30718.957,3831,63859
818,247599,31004.693,5108,63859
819,247599,30784.414,4683,57047
820,247599,30917.227,2980,62156
821,247599,30898.645,6385,63008
822,247599,30713.887,5534,65535
823,247599,31005.061,0,57473
824,247599,30770.236,2980,65535
825,247599,30972.846,3405,53216
826,247599,30405.475,5108,59602
827,247599,23271.748,0,65535
828,247599,23298.262,0,65535
829,247599,23210.934,0,65535
830,247599,23357.156,0,65535
831,247599,23200.740,0,65535
832,247599,23387.971,0,65535
833,247599,23169.137,0,65535
834,247599,23098.400,0,65535
835,247599,23390.682,0,65535
836,247599,23061.795,0,65535
837,247599,23320.643,0,65535
838,247599,27473.463,0,61731
839,247599,31054.635,1277,59602
840,247599,30807.766,3405,54493
841,247599,30631.215,0,52364
842,247599,30877.098,0,65535
843,247599,30598.607,5108,57473
844,247599,30850.865,4257,57473
845,247599,30656.023,6385,60028
846,247599,30869.004,6385,62582
847,247599,30688.602,0,54067
848,247599,30576.000,0,61731
849,247599,30333.221,5108,57899
850,247599,23053.451,0,65535
851,247599,23334.357,0,65535
852,247599,23121.832,0,65535
853,247599,23344.320,0,65535
854,247599,23394.322,0,65535
855,247599,23225.531,0,65535
856,247599,23467.969,0,65535
857,247599,23228.160,0,65535
858,247599,23435.316,0,65535
859,247599,23221.617,0,65535
860,247599,23410.502,0,65535
861,247599,27848.703,0,65535
862,247599,30907.699,5534,65535
863,247599,31105.854,5108,62582
864,247599,30794.186,0,65535
865,247599,31003.986,6385,59602
866,247599,30862.508,3405,64711
867,247599,30922.521,0,61731
868,247599,30913.770,0,55770
869,247599,30702.660,6811,65535
870,247599,30886.701,2128,61305
871,247599,30739.385,5108,51087
872,247599,30192.426,2554,63859
873,247599,23033.303,0,65535
874,247599,23110.941,0,65535
875,247599,23366.090,0,65535
876,247599,23185.674,0,65535
877,247599,23407.707,0,65535
878,247599,23211.881,0,65535
879,247599,23458.795,0,65535
880,247599,23286.846,0,65535
881,247599,23209.936,0,65535
882,247599,23378.482,0,65535
883,247599,23143.732,0,65535
884,247599,28071.016,0,58750
885,247599,30960.266,0,61305
886,247599,31076.867,6385,65136
887,247599,30940.627,1277,55770
888,247599,30745.229,2980,63859
889,247599,31019.355,5534,65535
890,247599,30731.592,851,58325
891,247599,30996.764,5108,65535
892,247599,30736.859,2128,65535
893,247599,30963.213,3405,60028
894,247599,30978.623,4257,62582
895,247599,29820.170,5108,62156
896,247599,23146.928,0,65535
897,247599,23042.348,0,65535
898,247599,23420.129,0,65535
899,247599,23168.615,0,65535
900,247599,23305.297,0,65535
901,247599,23284.932,0,65535
902,247599,23071.354,0,65535
903,247599,23310.777,0,65535
904,247599,23191.545,0,65535
905,247599,23387.135,0,65535
