 ,Area(zone c),Mean(zone c),Min(zone c),Max(zone c)
869,115080,30390.486,6811,61305
870,115080,30594.395,2128,61305
871,115080,30423.021,5108,51087
872,115080,31722.314,6385,63859
873,115080,44814.617,5108,65535
874,115080,44434.117,6385,65535
875,115080,44764.551,4257,65535
876,115080,44563.875,3831,65535
877,115080,44846.129,6385,65535
878,115080,44631.117,5960,65535
879,115080,44893.453,5108,65535
880,115080,44731.914,4257,65535
881,115080,44651.484,5108,65535
882,115080,44860.270,2980,65535
883,115080,44587.176,3831,65535
884,115080,36421.184,7237,58750
885,115080,30424.164,0,61305
886,115080,30744.729,6385,63433
887,115080,30623.727,1277,53216
888,115080,30435.414,2980,62156
889,115080,30722.850,4257,55770
890,115080,30410.391,851,58325
891,115080,30672.650,6385,59176
892,115080,30425.223,2128,52364
893,115080,30634.314,3405,54493
894,115080,30681.459,5534,62582
895,115080,31695.510,7237,57473
896,115080,44965.707,7237,65535
897,115080,44349.562,3405,65535
898,115080,44768.078,3405,65535
899,115080,44508.270,6385,65535
900,115080,44657.285,0,65535
901,115080,44663.398,5108,65535
902,115080,44398.180,4683,65535
903,115080,44708.598,3405,65535
904,115080,44566.766,5960,65535
905,115080,44801.391,5534,65535
906,115080,44719.254,4683,65535
907,115080,36002.234,6811,59602
908,115080,30567.828,5534,54919
909,115080,30543.568,0,64285
910,115080,30695.629,6385,63008
911,115080,30522.832,5534,65535
912,115080,30699.529,2128,65535
913,115080,30458.283,3831,59602
914,115080,30405.668,3831,57047
915,115080,30703.572,4683,51513
916,115080,30427.541,6811,63859
917,115080,30590.154,7237,57047
918,115080,32169.592,3405,54919
919,115080,45119.559,0,65535
920,115080,44631.824,5534,65535
921,115080,44609.918,5960,65535
922,115080,44848.574,4683,65535
923,115080,44639.125,3831,65535
924,115080,44903.125,5534,65535
925,115080,44699.973,0,65535
926,115080,44810.594,6811,65535
927,115080,44660.781,6385,65535
928,115080,44557.262,5960,65535
929,115080,44845.520,5960,65535
930,115080,35521.871,5534,59176
931,115080,30590.547,7663,53642
932,115080,30514.738,6385,60028
933,115080,30691.953,1277,62582
934,115080,30698.674,5534,55770
935,115080,30491.955,3405,58750
936,115080,30729.377,6811,65535
937,115080,30345.355,6811,54493
938,115080,30652.391,425,52364
939,115080,30545.238,3405,64285
940,115080,30718.945,5534,65535
941,115080,32468.021,5534,60028
942,115080,44891.801,3405,65535
943,115080,44902.465,5108,65535
944,115080,44645.547,0,65535
945,115080,44806.305,6385,65535
946,115080,44661.688,3831,65535
947,115080,44806.570,0,65535
948,115080,44859.574,5534,65535
949,115080,44553.223,3405,65535
950,115080,44816.000,5108,65535
951,115080,44584.504,4257,65535
952,115080,44782.309,4683,65535
953,115080,35468.723,7663,60028
954,115080,30293.357,5108,51513
955,115080,30630.156,5960,60028
956,115080,30367.768,0,60028
957,115080,30649.064,3831,60028
958,115080,30380.434,425,59176
959,115080,30523.471,0,65535
960,115080,30433.838,6385,57047
961,115080,30338.676,3405,57899
962,115080,30577.324,5534,62582
963,115080,30317.988,2980,54493
964,115080,32783.215,6811,54493
965,115080,44922.664,5534,65535
966,115080,44719.914,4683,65535
967,115080,44612.176,0,65535
968,115080,44587.801,4257,65535
969,115080,44831.984,5960,65535
970,115080,44621.895,4683,65535
971,115080,44893.723,4683,65535
972,115080,44694.375,5534,65535
973,115080,44933.582,2980,65535
974,115080,44911.938,5108,65535
975,115080,44577.828,5534,65535
976,115080,35439.242,5960,64285
977,115080,30370.547,4683,65535
978,115080,30839.967,2128,58325
979,115080,30593.000,0,57899
980,115080,30686.695,5108,65535
981,115080,30749.434,6811,60879
982,115080,30394.641,0,54919
983,115080,30729.143,3831,61731
984,115080,30491.586,0,52790
985,115080,30547.545,4683,61305
986,115080,30404.023,5534,59176
987,115080,32813.422,0,63433
988,115080,44930.867,4257,65535
989,115080,44367.906,0,65535
990,115080,44678.152,6385,65535
991,115080,44511.305,5534,65535
992,115080,44809.234,4683,65535
993,115080,44600.273,6385,65535
994,115080,44530.105,4257,65535
995,115080,44823.949,4683,65535
996,115080,44503.758,5534,65535
997,115080,44873.883,5534,65535
998,115080,44655.477,2554,65535
999,115080,35178.531,4683,65535
1000,115080,30540.678,5534,56196
1001,115080,30520.395,0,54919
1002,115080,30826.242,3405,56196
1003,115080,30528.445,5108,59176
1004,115080,30714.129,5534,63008
1005,115080,30535.695,3831,63008
1006,115080,30606.199,4683,61731
1007,115080,30465.223,7237,60453
1008,115080,30336.367,4683,59602
1009,115080,30601.400,851,65535
1010,115080,32816.469,6385,54067
1011,115080,44960.816,6385,65535
1012,115080,44383.383,6385,65535
1013,115080,44601.871,6385,65535
1014,115080,44646.676,4683,65535
1015,115080,44331.219,5534,65535
1016,115080,44674.199,4257,65535
1017,115080,44363.125,1702,65535
1018,115080,44678.629,6385,65535
1019,115080,44525.281,5534,65535
1020,115080,44839.320,5108,65535
1021,115080,44889.551,4683,65535
1022,115080,34699.715,5960,56196
1023,115080,30641.020,5960,60879
1024,115080,30590.896,6385,54493
1025,115080,30719.307,0,60879
1026,115080,30620.225,6811,65535
1027,115080,30736.115,5108,65535
1028,115080,30750.295,2554,57473
1029,115080,30473.291,5960,59176
1030,115080,30745.543,425,56622
1031,115080,30521.748,5108,58325
1032,115080,30696.799,2980,54067
1033,115080,33334.336,6811,58325
1034,115080,44753.418,4683,65535
1035,115080,44714.156,4683,65535
1036,115080,44523.156,5960,65535
1037,115080,44783.926,3831,65535
1038,115080,44594.914,6385,65535
1039,115080,44829.801,5534,65535
1040,115080,44566.121,0,65535
1041,115080,44595.699,5108,65535
1042,115080,44816.535,5534,65535
1043,115080,44562.492,5108,65535
1044,115080,44771.023,2554,65535
1045,115080,34434.918,0,61731
1046,115080,30607.109,6811,61731
1047,115080,30485.557,5960,63859
1048,115080,30478.039,1702,65136
1049,115080,30737.998,1277,61305
1050,115080,30528.363,1277,62582
1051,115080,30780.385,5960,52364
1052,115080,30544.092,6385,60028
1053,115080,30722.764,5534,53642
1054,115080,30687.826,5534,54493
1055,115080,30413.471,6385,60028
1056,115080,33685.586,2980,65535
1057,115080,44850.246,5108,65535
1058,115080,44741.934,6385,65535
1059,115080,44635.184,0,65535
1060,115080,44738.516,6385,65535
1061,115080,44765.824,0,65535
1062,115080,44556.047,3405,65535
1063,115080,44826.930,5960,65535
1064,115080,44675.582,851,65535
1065,115080,44793.176,5108,65535
1066,115080,44632.859,0,65535
1067,115080,44874.664,0,65535
1068,115080,34428.102,6811,55345
1069,115080,30428.701,2554,53642
1070,115080,30737.707,851,55770
1071,115080,30456.893,0,51939
1072,115080,30588.738,7237,58750
1073,115080,30426.324,5108,57899
1074,115080,30331.197,0,51513
1075,115080,30531.889,4257,65535
1076,115080,30290.127,5108,54919
1077,115080,30635.932,5108,63859
1078,115080,30446.684,6811,58750
1079,115080,33821.613,6811,65535
1080,115080,44776.426,4683,65535
1081,115080,44581.867,6385,65535
1082,115080,44822.289,4683,65535
1083,115080,44505.645,5960,65535
1084,115080,44881.055,4683,65535
1085,115080,44676.926,5534,65535
1086,115080,44921.934,5960,65535
1087,115080,44718.977,5108,65535
1088,115080,44661.785,5108,65535
1089,115080,44962.332,4257,65535
1090,115080,44668.254,4683,65535
1091,115080,34334.223,5108,56622
1092,115080,30536.172,5108,53216
1093,115080,30823.986,4683,60879
1094,115080,30801.959,0,59176
1095,115080,30429.385,0,51087
1096,115080,30701.158,5960,58325
1097,115080,30448.994,1702,54919
1098,115080,30674.895,7237,60453
1099,115080,30374.932,6385,51087
1100,115080,30590.748,4683,54919
1101,115080,30619.209,3831,59176
1102,115080,33787.672,5960,60879
1103,115080,44974.340,6385,65535
1104,115080,44537.785,5108,65535
1105,115080,44766.484,5534,65535
1106,115080,44521.309,1702,65535
1107,115080,44719.055,4257,65535
1108,115080,44832.820,3831,65535
1109,115080,44601.203,5108,65535
1110,115080,44874.648,0,65535
1111,115080,44750.156,5960,65535
1112,115080,44839.816,5108,65535
1113,115080,44720.609,4683,65535
1114,115080,33777.012,7237,59176
1115,115080,30802.145,5960,54493
1116,115080,30544.227,4683,65535
1117,115080,30721.943,2980,56196
1118,115080,30591.145,5960,59602
1119,115080,30711.969,7237,60453
1120,115080,30483.111,4683,62582
1121,115080,30405.361,1277,54919
1122,115080,30703.410,7663,64285
1123,115080,30350.326,5108,58750
1124,115080,30630.461,5534,52790
1125,115080,34127.543,5108,56622
1126,115080,44979.543,3831,65535
1127,115080,44505.359,5960,65535
1128,115080,44393.793,4683,65535
1129,115080,44704.645,3405,65535
1130,115080,44434.980,5108,65535
1131,115080,44692.066,0,65535
1132,115080,44481.027,6385,65535
1133,115080,44692.793,4683,65535
1134,115080,44796.973,5534,65535
1135,115080,44590.988,4683,65535
1136,115080,44882.680,4257,65535
1137,115080,33524.273,0,61731
1138,115080,30706.066,5534,64285
1139,115080,30612.455,6811,59176
1140,115080,30776.754,0,54493
1141,115080,30828.264,4683,52364
1142,115080,30552.039,3831,62582
1143,115080,30725.270,6811,64711
1144,115080,30502.504,5108,62156
1145,115080,30707.365,6811,58325
1146,115080,30526.795,5534,57047
1147,115080,30737.510,0,65535
1148,115080,34620.484,6385,59176
1149,115080,44768.316,3831,65535
1150,115080,44875.820,5960,65535
1151,115080,44573.441,4683,65535
1152,115080,44783.090,2554,65535
1153,115080,44629.047,425,65535
1154,115080,44523.660,5534,65535
1155,115080,44808.320,2980,65535
1156,115080,44538.793,5960,65535
1157,115080,44771.281,5960,65535
1158,115080,44658.492,3405,65535
1159,115080,44798.375,5960,65535
1160,115080,33312.180,7237,59176
1161,115080,30408.324,2128,63433
1162,115080,30786.621,7237,56196
1163,115080,30405.791,5108,62156
1164,115080,30709.010,6385,52790
1165,115080,30511.877,1277,60879
1166,115080,30764.820,2980,62582
1167,115080,30496.695,0,52790
1168,115080,30411.850,4257,65535
1169,115080,30676.262,6385,54493
1170,115080,30411.938,2980,55770
1171,115080,34816.883,6811,65535
1172,115080,44878.922,4257,65535
1173,115080,44752.223,5108,65535
1174,115080,44804.000,4257,65535
1175,115080,44574.871,0,65535
1176,115080,44828.859,5534,65535
1177,115080,44599.953,5960,65535
1178,115080,44855.156,5108,65535
1179,115080,44662.910,4683,65535
1180,115080,44869.160,5534,65535
1181,115080,44820.867,4257,65535
1182,115080,44552.207,851,65535
1183,115080,33338.312,7237,60879
1184,115080,30522.912,0,57899
1185,115080,30732.170,6385,60453
1186,115080,30559.783,2980,52790
1187,115080,30675.217,7237,57899
1188,115080,30609.277,3831,54919
1189,115080,30358.455,7237,58325
1190,115080,30536.424,2554,52364
1191,115080,30422.264,5534,57473
1192,115080,30631.451,6385,57047
1193,115080,30425.885,6811,65535
1194,115080,34847.016,5960,63008
1195,115080,44984.512,4683,65535
1196,115080,44544.344,5960,65535
1197,115080,44877.238,0,65535
1198,115080,44658.340,6385,65535
1199,115080,44834.793,3831,65535
1200,115080,44730.969,4683,65535
