 ,Area(zone c),Mean(zone c),Min(zone c),Max(zone c)
577,115080,44564.422,6385,65535
578,115080,44819.660,4257,65535
579,115080,44597.977,2554,65535
580,115080,44821.477,0,65535
581,115080,44804.441,5960,65535
582,115080,44503.449,3405,65535
583,115080,44867.852,4683,65535
584,115080,44635.266,4683,65535
585,115080,39248.535,2980,63859
586,115080,30309.490,5108,58325
587,115080,30725.285,6811,59176
588,115080,30696.029,6811,62156
589,115080,30376.812,5534,57473
590,115080,30668.236,5534,61305
591,115080,30495.723,5534,53216
592,115080,30768.264,1277,54067
593,115080,30498.756,6811,58750
594,115080,30428.768,425,56622
595,115080,30686.344,5960,56196
596,115080,30393.049,3405,54919
597,115080,43841.406,5960,65535
598,115080,44675.312,0,65535
599,115080,44828.309,3405,65535
600,115080,44656.129,5108,65535
601,115080,44613.566,4683,65535
602,115080,44916.785,5960,65535
603,115080,44644.383,3405,65535
604,115080,44867.625,5960,65535
605,115080,44636.445,0,65535
606,115080,44730.312,5534,65535
607,115080,44612.570,0,65535
608,115080,38852.238,1277,65535
609,115080,30503.160,4683,53216
610,115080,30439.512,0,52790
611,115080,30595.875,2554,62582
612,115080,30453.508,6385,54067
613,115080,30632.879,5108,62156
614,115080,30616.488,3831,54919
615,115080,30257.908,6811,54067
616,115080,30542.559,5108,58750
617,115080,30258.084,5108,60028
618,115080,30635.344,4257,60879
619,115080,30423.607,5108,65535
620,115080,44026.320,0,65535
621,115080,44856.387,5960,65535
622,115080,44555.723,4683,65535
623,115080,44820.617,5534,65535
624,115080,44694.457,851,65535
625,115080,44894.957,1702,65535
626,115080,44663.516,3405,65535
627,115080,44888.016,5534,65535
628,115080,44881.734,5108,65535
629,115080,44664.461,4257,65535
630,115080,44942.043,4257,65535
631,115080,38749.066,6385,65535
632,115080,30633.373,6385,62156
633,115080,30593.449,0,59176
634,115080,30465.348,4683,64285
635,115080,30730.855,6385,63859
636,115080,30463.311,2980,62582
637,115080,30659.707,0,62582
638,115080,30432.646,5960,62582
639,115080,30645.295,5108,54919
640,115080,30418.068,425,51939
641,115080,30340.898,5960,62156
642,115080,30639.725,2554,58750
643,115080,43877.566,3405,65535
644,115080,44723.152,5108,65535
645,115080,44510.047,4257,65535
646,115080,44718.648,0,65535
647,115080,44615.598,4683,65535
648,115080,44536.117,5534,65535
649,115080,44852.137,6385,65535
650,115080,44557.504,5108,65535
651,115080,44899.355,0,65535
652,115080,44707.637,5534,65535
653,115080,44862.426,5108,65535
654,115080,38621.859,0,65136
655,115080,30347.166,2980,56196
656,115080,30857.664,5960,54067
657,115080,30507.244,6385,55345
658,115080,30784.174,2128,64285
659,115080,30583.225,6385,60028
660,115080,30673.068,7663,65535
661,115080,30710.637,0,54919
662,115080,30488.162,2980,61731
663,115080,30701.826,5108,61305
664,115080,30440.586,6385,56196
665,115080,30550.996,1702,53216
666,115080,44214.672,6385,65535
667,115080,44659.805,851,65535
668,115080,44671.684,5108,65535
669,115080,44350.715,5960,65535
670,115080,44653.207,5960,65535
671,115080,44518.918,5534,65535
672,115080,44734.805,6385,65535
673,115080,44448.457,5960,65535
674,115080,44448.043,5108,65535
675,115080,44763.504,5534,65535
676,115080,44635.602,4683,65535
677,115080,38421.129,5534,65535
678,115080,30450.150,2980,55345
679,115080,30785.580,5108,62582
680,115080,30628.000,2554,63008
681,115080,30513.689,6385,56622
682,115080,30819.639,4257,55770
683,115080,30527.871,5960,62156
684,115080,30748.320,0,65535
685,115080,30542.314,6385,55770
686,115080,30753.918,5108,60028
687,115080,30457.604,6385,62582
688,115080,30406.340,2980,54493
689,115080,44693.602,5108,65535
690,115080,44546.988,4683,65535
