time_s,ch1_v,ch2_v
-0.0229,2.40547728,0.45557809
-0.022875,2.40045215,0.45557809
-0.02285,2.40547728,0.45557809
-0.022825,2.40547728,0.45557809
-0.0228,2.41552753,0.45557809
-0.022775,2.4105024,0.45557809
-0.02275,2.4105024,0.45557809
-0.022725,2.40547728,0.45055297
-0.0227,2.40547728,0.45557809
-0.022675,2.40547728,0.45557809
-0.02265,2.4105024,0.45557809
-0.022625,2.4105024,0.45557809
-0.0226,2.4105024,0.45557809
-0.022575,2.4105024,0.45557809
-0.02255,2.40547728,0.45557809
-0.022525,2.40547728,0.45557809
-0.0225,2.40547728,0.45557809
-0.022475,2.41552753,0.45557809
-0.02245,2.4105024,0.45557809
-0.022425,2.40547728,0.46060322
-0.0224,2.40045215,0.45557809
-0.022375,2.40045215,0.45557809
-0.02235,2.4105024,0.46060322
-0.022325,2.4105024,0.46060322
-0.0223,2.42055265,0.45557809
-0.022275,2.40547728,0.46060322
-0.02225,2.40045215,0.45557809
-0.022225,2.40045215,0.45557809
-0.0222,2.40547728,0.45557809
-0.022175,2.41552753,0.45557809
-0.02215,2.4105024,0.45557809
-0.022125,2.4105024,0.45055297
-0.0221,2.40045215,0.45557809
-0.022075,2.40045215,0.45557809
-0.02205,2.40045215,0.45557809
-0.022025,2.4105024,0.45055297
-0.022,2.4105024,0.45557809
-0.021975,2.40547728,0.45557809
-0.02195,2.40547728,0.46060322
-0.021925,2.40045215,0.45557809
-0.0219,2.40547728,0.45557809
-0.021875,2.40045215,0.46060322
-0.02185,2.4105024,0.46060322
-0.021825,2.40547728,0.45557809
-0.0218,2.4105024,0.45557809
-0.021775,2.40045215,0.45557809
-0.02175,2.40045215,0.46060322
-0.021725,2.40547728,0.45557809
-0.0217,2.40547728,0.45557809
-0.021675,2.4105024,0.45557809
-0.02165,2.40045215,0.45557809
-0.021625,2.40547728,0.45557809
-0.0216,2.39542702,0.45557809
-0.021575,2.4105024,0.45055297
-0.02155,2.40547728,0.45557809
-0.021525,2.4105024,0.45557809
-0.0215,2.41552753,0.45557809
-0.021475,2.40045215,0.45557809
-0.02145,2.40045215,0.45557809
-0.021425,2.39542702,0.45557809
-0.0214,2.40547728,0.46060322
-0.021375,2.4105024,0.45557809
-0.02135,2.4105024,0.45557809
-0.021325,2.40547728,0.45557809
-0.0213,2.40045215,0.45557809
-0.021275,2.40045215,0.45557809
-0.02125,2.40045215,0.45557809
-0.021225,2.4105024,0.45557809
-0.0212,2.4105024,0.45557809
-0.021175,2.40547728,0.45557809
-0.02115,2.39542702,0.45557809
-0.021125,2.39542702,0.45557809
-0.0211,2.40045215,0.45557809
-0.021075,2.40547728,0.45557809
-0.02105,2.41552753,0.45557809
-0.021025,2.40547728,0.45557809
-0.021,2.39542702,0.45557809
-0.020975,2.39542702,0.45557809
-0.02095,2.40045215,0.45557809
-0.020925,2.40547728,0.46060322
-0.0209,2.40547728,0.45557809
-0.020875,2.4105024,0.45557809
-0.02085,2.40547728,0.45055297
-0.020825,2.40045215,0.45557809
-0.0208,2.39542702,0.45557809
-0.020775,2.40547728,0.45557809
-0.02075,2.40547728,0.45557809
-0.020725,2.4105024,0.45557809
-0.0207,2.4105024,0.45557809
-0.020675,2.40045215,0.45557809
-0.02065,2.40547728,0.45557809
-0.020625,2.4105024,0.45557809
-0.0206,2.41552753,0.45557809
