time,amplitude
7.522918324990846700e-03,7.200000000000001954e-01
7.526918813331708036e-03,7.999999999999998224e-01
7.530919301672569371e-03,7.999999999999998224e-01
7.534919790013430707e-03,7.200000000000001954e-01
7.538920278354292043e-03,7.200000000000001954e-01
7.542920766695153378e-03,7.200000000000001954e-01
7.546921255036018183e-03,7.200000000000001954e-01
7.550921743376879519e-03,7.200000000000001954e-01
7.554922231717740855e-03,7.200000000000001954e-01
7.558922720058602190e-03,7.200000000000001954e-01
7.562923208399463526e-03,7.999999999999998224e-01
7.566923696740324862e-03,7.200000000000001954e-01
7.570924185081189667e-03,7.200000000000001954e-01
7.574924673422051002e-03,7.200000000000001954e-01
7.578925161762912338e-03,7.200000000000001954e-01
7.582925650103773674e-03,7.200000000000001954e-01
7.586926138444635009e-03,7.200000000000001954e-01
7.590926626785496345e-03,7.200000000000001954e-01
7.594927115126361150e-03,7.200000000000001954e-01
7.598927603467222486e-03,7.200000000000001954e-01
7.602928091808083821e-03,7.200000000000001954e-01
7.606928580148945157e-03,7.200000000000001954e-01
7.610929068489806493e-03,7.200000000000001954e-01
7.614929556830671298e-03,7.200000000000001954e-01
7.618930045171532633e-03,7.200000000000001954e-01
7.622930533512393969e-03,7.200000000000001954e-01
7.626931021853255305e-03,7.200000000000001954e-01
7.630931510194116640e-03,7.200000000000001954e-01
7.634931998534977976e-03,7.200000000000001954e-01
7.638932486875842781e-03,7.200000000000001954e-01
7.642932975216704117e-03,7.200000000000001954e-01
7.646933463557565452e-03,7.200000000000001954e-01
7.650933951898426788e-03,7.200000000000001954e-01
7.654934440239288124e-03,7.200000000000001954e-01
7.658934928580149459e-03,7.200000000000001954e-01
7.662935416921014264e-03,7.200000000000001954e-01
7.666935905261875600e-03,7.999999999999998224e-01
7.670936393602736936e-03,7.200000000000001954e-01
7.674936881943598271e-03,7.999999999999998224e-01
7.678937370284459607e-03,7.200000000000001954e-01
7.682937858625320943e-03,7.200000000000001954e-01
7.686938346966185748e-03,7.200000000000001954e-01
7.690938835307047083e-03,7.999999999999998224e-01
7.694939323647908419e-03,7.200000000000001954e-01
7.698939811988769755e-03,7.200000000000001954e-01
7.702940300329631090e-03,7.200000000000001954e-01
7.706940788670492426e-03,7.200000000000001954e-01
7.710941277011357231e-03,7.200000000000001954e-01
7.714941765352218567e-03,7.200000000000001954e-01
7.718942253693079902e-03,7.200000000000001954e-01
7.722942742033941238e-03,7.200000000000001954e-01
7.726943230374802574e-03,7.200000000000001954e-01
7.730943718715663909e-03,7.200000000000001954e-01
7.734944207056528714e-03,7.200000000000001954e-01
7.738944695397390050e-03,7.200000000000001954e-01
7.742945183738251386e-03,7.200000000000001954e-01
7.746945672079112721e-03,7.999999999999998224e-01
7.750946160419974057e-03,7.200000000000001954e-01
7.754946648760835393e-03,7.999999999999998224e-01
7.758947137101700198e-03,7.999999999999998224e-01
7.762947625442561533e-03,7.200000000000001954e-01
7.766948113783422869e-03,7.200000000000001954e-01
7.770948602124284205e-03,7.200000000000001954e-01
7.774949090465145540e-03,7.200000000000001954e-01
7.778949578806006876e-03,7.200000000000001954e-01
7.782950067146871681e-03,7.200000000000001954e-01
7.786950555487733017e-03,7.200000000000001954e-01
7.790951043828594352e-03,7.200000000000001954e-01
7.794951532169455688e-03,7.999999999999998224e-01
7.798952020510317024e-03,7.200000000000001954e-01
7.802952508851178359e-03,7.200000000000001954e-01
7.806952997192043164e-03,7.200000000000001954e-01
7.810953485532904500e-03,7.200000000000001954e-01
7.814953973873765836e-03,7.200000000000001954e-01
7.818954462214627171e-03,7.200000000000001954e-01
7.822954950555488507e-03,7.200000000000001954e-01
7.826955438896349843e-03,7.200000000000001954e-01
7.830955927237214648e-03,7.200000000000001954e-01
7.834956415578075983e-03,7.200000000000001954e-01
7.838956903918937319e-03,6.400000000000001243e-01
7.842957392259798655e-03,7.200000000000001954e-01
7.846957880600659990e-03,7.200000000000001954e-01
7.850958368941521326e-03,7.200000000000001954e-01
7.854958857282386131e-03,7.200000000000001954e-01
7.858959345623247467e-03,7.200000000000001954e-01
7.862959833964108802e-03,7.200000000000001954e-01
7.866960322304970138e-03,7.200000000000001954e-01
7.870960810645831474e-03,7.200000000000001954e-01
7.874961298986692809e-03,7.200000000000001954e-01
7.878961787327557614e-03,7.200000000000001954e-01
7.882962275668418950e-03,7.200000000000001954e-01
7.886962764009280286e-03,7.999999999999998224e-01
7.890963252350141621e-03,7.200000000000001954e-01
7.894963740691002957e-03,7.999999999999998224e-01
7.898964229031864293e-03,7.200000000000001954e-01
7.902964717372729098e-03,7.200000000000001954e-01
7.906965205713590433e-03,7.200000000000001954e-01
