time_s,ch1_raw,ch2_raw,ch1_centered,ch2_centered,ch1_normalized,ch2_normalized
0.001800000000000003,-0.69646989,-0.35026382,-0.04739823771000007,0.08075314462999994,-0.37887102846754894,0.6773421140539132
0.0018500000000000044,-0.70023874,-0.34775126,-0.05116708771,0.08326570462999994,-0.4089967914627128,0.6984169924364827
0.0019000000000000059,-0.70526386,-0.3452387,-0.05619220771,0.08577826462999993,-0.4491643688781737,0.7194918708190523
0.0019500000000000003,-0.71028899,-0.34021357,-0.06121733771000004,0.09080339462999992,-0.4893320262272036,0.7616417114623012
0.0020000000000000018,-0.7165704,-0.33895729,-0.06749874771000008,0.09205967462999992,-0.5395415779300987,0.772179150653586
0.002050000000000003,-0.71782668,-0.33644473,-0.06875502771000008,0.09457223462999992,-0.549583472283964,0.7932540290361555
0.0021000000000000046,-0.72410808,-0.33393217,-0.07503642771000008,0.09708479462999997,-0.5997929440532901,0.8143289074187255
0.002150000000000006,-0.72913321,-0.33016332,-0.08006155771000001,0.10085364462999996,-0.6399606014023191,0.8459413088706897
0.0022000000000000006,-0.73415833,-0.33267589,-0.08508667771,0.09834107462999997,-0.6801281788177801,0.8248663466100103
0.002250000000000002,-0.74043974,-0.32388192,-0.09136808771000005,0.10713504462999995,-0.7303377305206753,0.8986285048271136
0.0023000000000000034,-0.7429523,-0.32765076,-0.09388064771000004,0.10336620462999996,-0.7504215192284057,0.8670161872532592
0.002350000000000005,-0.74923371,-0.32262563,-0.10016205771000009,0.10839133462999995,-0.8006310709313008,0.9091660278965082
0.0023999999999999994,-0.75425884,-0.32136935,-0.10518718771000002,0.10964761462999995,-0.8407987282803299,0.919703467087793
0.002450000000000001,-0.75802768,-0.31885679,-0.10895602771000001,0.11216017462999994,-0.8709244113419256,0.9407783454703625
0.0025000000000000022,-0.76430909,-0.31634423,-0.11523743771000006,0.11467273462999994,-0.9211339630448208,0.9618532238529321
