time_s,ch1_v,ch2_v
-0.03835,-0.86229904,-0.28870604
-0.0383,-0.86606788,-0.28996232
-0.03825,-0.87109301,-0.28619347
-0.0382,-0.87611813,-0.28744976
-0.03815,-0.87737441,-0.28619347
-0.0381,-0.88365582,-0.28619347
-0.03805,-0.88868095,-0.28619347
-0.038,-0.89119351,-0.28493719
-0.03795,-0.89621863,-0.28368091
-0.0379,-0.86732416,-0.28744976
-0.03785,-0.83842969,-0.30126885
-0.0378,-0.81958547,-0.30629398
-0.03775,-0.79822869,-0.31257538
-0.0377,-0.78189703,-0.32136935
-0.03765,-0.76556537,-0.3251382
-0.0376,-0.74923371,-0.32890704
-0.03755,-0.73541462,-0.33895729
-0.0375,-0.72410808,-0.3452387
-0.03745,-0.71028899,-0.34775126
-0.0374,-0.70023874,-0.35277639
-0.03735,-0.6889322,-0.36157036
-0.0373,-0.68390708,-0.36785176
-0.03725,-0.67511311,-0.37287689
-0.0372,-0.66380658,-0.37790202
-0.03715,-0.65752517,-0.38669599
-0.0371,-0.64747492,-0.38920855
-0.03705,-0.64119351,-0.39046483
-0.037,-0.6349121,-0.39800252
-0.03695,-0.6286307,-0.40428392
-0.0369,-0.62486185,-0.41056533
-0.03685,-0.61858045,-0.41559046
-0.0368,-0.61355532,-0.42312815
-0.03675,-0.60727391,-0.42689699
-0.0367,-0.60350507,-0.43192212
-0.03665,-0.59596738,-0.4331784
-0.0366,-0.59345482,-0.43820352
-0.03655,-0.59094226,-0.44574121
-0.0365,-0.58466085,-0.44951005
-0.03645,-0.58214829,-0.45453518
-0.0364,-0.57837944,-0.46081659
-0.03635,-0.57209803,-0.46709799
-0.0363,-0.57084175,-0.46961056
-0.03625,-0.56456035,-0.47463568
-0.0362,-0.56204778,-0.48217337
-0.03615,-0.5607915,-0.48342965
-0.0361,-0.5545101,-0.48594222
-0.03605,-0.5545101,-0.4934799
-0.036,-0.54948497,-0.50101759
-0.03595,-0.54571613,-0.50353015
-0.0359,-0.54571613,-0.50855528
-0.03585,-0.54194728,-0.51483669
-0.0358,-0.53692216,-0.51860553
-0.03575,-0.53817844,-0.51860553
-0.0357,-0.53440959,-0.52488694
-0.03565,-0.53566587,-0.53116835
-0.0356,-0.53189703,-0.53744975
-0.03555,-0.53064075,-0.54247488
-0.0355,-0.52435934,-0.54498744
-0.03545,-0.52310306,-0.54875628
-0.0354,-0.52435934,-0.55378141
-0.03535,-0.52184678,-0.55503769
-0.0353,-0.51682165,-0.56006282
-0.03525,-0.51682165,-0.56508794
-0.0352,-0.51305281,-0.57388191
-0.03515,-0.51179653,-0.57262563
-0.0351,-0.50802768,-0.58267588
-0.03505,-0.50928397,-0.58393216
-0.035,-0.50928397,-0.58895729
-0.03495,-0.5067714,-0.59272613
-0.0349,-0.50300256,-0.59900754
-0.03485,-0.50551512,-0.60403267
-0.0348,-0.50425884,-0.60905779
-0.03475,-0.50300256,-0.61282664
-0.0347,-0.49923371,-0.61659548
-0.03465,-0.49546487,-0.62036432
-0.0346,-0.49797743,-0.62413317
-0.03455,-0.49546487,-0.62664573
-0.0345,-0.49169603,-0.63292714
-0.03445,-0.49420859,-0.63795226
-0.0344,-0.49295231,-0.64297739
-0.03435,-0.49169603,-0.64172111
-0.0343,-0.48541462,-0.65177136
-0.03425,-0.48792718,-0.65428392
-0.0342,-0.48918346,-0.65679648
-0.03415,-0.48792718,-0.66307789
