pc_time_s,idx,teensy_t_us,raw1,raw2,raw3,raw4,raw5,idx_jump,missing_frames,time_s,voltage1,voltage2,voltage3,voltage4,voltage5
3.95138,3953,3952998,3243,3363,3417,3408,2810,1,0,3.952998,2.6134065934065935,2.71010989010989,2.7536263736263735,2.7463736263736265,2.2644688644688644
3.952427,3954,3953998,3175,3401,3436,3438,2946,1,0,3.953998,2.5586080586080584,2.740732600732601,2.768937728937729,2.7705494505494506,2.3740659340659342
3.953637,3955,3954998,3021,3457,3458,3474,3130,1,0,3.954998,2.4345054945054945,2.7858608058608056,2.7866666666666666,2.7995604395604397,2.5223443223443223
3.954402,3956,3955998,2893,3485,3468,3491,3218,1,0,3.955998,2.331355311355311,2.808424908424908,2.7947252747252747,2.813260073260073,2.5932600732600735
3.955421,3957,3956998,2779,3503,3476,3501,3268,1,0,3.956998,2.2394871794871793,2.8229304029304028,2.801172161172161,2.8213186813186812,2.6335531135531136
3.956441,3958,3957998,2910,3473,3461,3478,3195,1,0,3.957998,2.345054945054945,2.7987545787545787,2.789084249084249,2.8027838827838827,2.574725274725275
3.957398,3959,3958998,3102,3421,3438,3444,3047,1,0,3.958998,2.4997802197802197,2.756849816849817,2.7705494505494506,2.7753846153846156,2.4554578754578755
3.958423,3960,3959998,3189,3385,3425,3422,2920,1,0,3.959998,2.56989010989011,2.727838827838828,2.76007326007326,2.7576556776556775,2.353113553113553
3.95939,3961,3960998,3242,3364,3416,3410,2808,1,0,3.960998,2.6126007326007326,2.710915750915751,2.752820512820513,2.747985347985348,2.262857142857143
3.960409,3962,3961998,3185,3403,3436,3440,2947,1,0,3.961998,2.566666666666667,2.7423443223443225,2.768937728937729,2.772161172161172,2.374871794871795
3.96143,3963,3962998,3022,3457,3459,3474,3128,1,0,3.962998,2.4353113553113555,2.7858608058608056,2.7874725274725276,2.7995604395604397,2.5207326007326007
3.962406,3964,3963998,2892,3485,3469,3491,3216,1,0,3.963998,2.3305494505494506,2.808424908424908,2.7955311355311356,2.813260073260073,2.5916483516483515
